School Year,State,District Code,District Name,School Code,School Name,Grade,Total,Hispanic / Latino of any race(s),American Indian / Alaskan Native,Asian,Black / African American,Native Hawaiian / Other Pacific Islander,White,Two or More Races,Not Provided*,Male,Female,Hispanic / Latino of any race(s)_M,Hispanic / Latino of any race(s)_F,American Indian / Alaskan Native_M,American Indian / Alaskan Native_F,Asian_M,Asian_F,Black / African American_M,Black / African American_F,Native Hawaiian / Other Pacific Islander_M,Native Hawaiian / Other Pacific Islander_F,White_M,White_F,Two or More Races_M,Two or More Races_F,Not Provided_M*,Not Provided_F*,% Hispanic / Latino of any race(s),% American Indian / Alaskan Native,% Asian,% Black / African American,% Native Hawaiian / Other Pacific Islander,% White,% Two or More Races,% Not Provided*,% Male,% Female
2015,WA,27010,Tacoma School District,3397,Bryant,1,58,6,1,0,6,1,33,11,0,35,23,4,2,0,1,0,0,4,2,1,0,19,14,7,4,0,0,10.34,1.72,0.00,10.34,1.72,56.90,18.97,0.00,60.34,39.66
2015,WA,27010,Tacoma School District,3397,Bryant,2,58,7,0,2,9,0,33,7,0,22,36,2,5,0,0,0,2,3,6,0,0,15,18,2,5,0,0,12.07,0.00,3.45,15.52,0.00,56.90,12.07,0.00,37.93,62.07
2015,WA,27010,Tacoma School District,3397,Bryant,3,70,7,2,1,11,0,48,1,0,41,29,2,5,1,1,0,1,8,3,0,0,29,19,1,0,0,0,10.00,2.86,1.43,15.71,0.00,68.57,1.43,0.00,58.57,41.43
2015,WA,27010,Tacoma School District,3397,Bryant,4,49,2,2,5,9,0,29,2,0,32,17,1,1,1,1,2,3,7,2,0,0,20,9,1,1,0,0,4.08,4.08,10.20,18.37,0.00,59.18,4.08,0.00,65.31,34.69
2015,WA,27010,Tacoma School District,3397,Bryant,5,49,2,0,0,14,0,31,2,0,29,20,2,0,0,0,0,0,9,5,0,0,17,14,1,1,0,0,4.08,0.00,0.00,28.57,0.00,63.27,4.08,0.00,59.18,40.82
2015,WA,27010,Tacoma School District,3397,Bryant,6,36,4,2,2,8,1,18,1,0,20,16,1,3,2,0,1,1,4,4,1,0,10,8,1,0,0,0,11.11,5.56,5.56,22.22,2.78,50.00,2.78,0.00,55.56,44.44
2015,WA,27010,Tacoma School District,3397,Bryant,7,33,1,0,3,11,0,13,5,0,15,18,0,1,0,0,1,2,7,4,0,0,6,7,1,4,0,0,3.03,0.00,9.09,33.33,0.00,39.39,15.15,0.00,45.45,54.55
2015,WA,27010,Tacoma School District,3397,Bryant,8,26,2,1,2,6,0,15,0,0,13,13,1,1,1,0,1,1,3,3,0,0,7,8,0,0,0,0,7.69,3.85,7.69,23.08,0.00,57.69,0.00,0.00,50.00,50.00
2015,WA,27010,Tacoma School District,1585,Comm Based Trans Program,12,54,5,1,5,11,1,29,2,0,29,25,2,3,1,0,3,2,3,8,1,0,17,12,2,0,0,0,9.26,1.85,9.26,20.37,1.85,53.70,3.70,0.00,53.70,46.30
2015,WA,27010,Tacoma School District,4537,Crescent Heights,K2,75,13,1,3,4,2,39,13,0,41,34,5,8,0,1,2,1,3,1,2,0,22,17,7,6,0,0,17.33,1.33,4.00,5.33,2.67,52.00,17.33,0.00,54.67,45.33
2015,WA,27010,Tacoma School District,4537,Crescent Heights,1,85,8,1,9,2,1,54,10,0,43,42,4,4,1,0,7,2,1,1,0,1,21,33,9,1,0,0,9.41,1.18,10.59,2.35,1.18,63.53,11.76,0.00,50.59,49.41
2015,WA,27010,Tacoma School District,4537,Crescent Heights,2,84,12,0,5,5,3,53,6,0,37,47,6,6,0,0,1,4,1,4,1,2,25,28,3,3,0,0,14.29,0.00,5.95,5.95,3.57,63.10,7.14,0.00,44.05,55.95
2015,WA,27010,Tacoma School District,4537,Crescent Heights,3,96,14,0,8,12,3,57,2,0,50,46,8,6,0,0,4,4,6,6,3,0,28,29,1,1,0,0,14.58,0.00,8.33,12.50,3.13,59.38,2.08,0.00,52.08,47.92
2015,WA,27010,Tacoma School District,4537,Crescent Heights,4,79,12,1,10,10,7,37,2,0,42,37,6,6,1,0,5,5,5,5,4,3,20,17,1,1,0,0,15.19,1.27,12.66,12.66,8.86,46.84,2.53,0.00,53.16,46.84
2015,WA,27010,Tacoma School District,4537,Crescent Heights,5,79,8,0,9,5,2,53,2,0,42,37,3,5,0,0,7,2,4,1,1,1,26,27,1,1,0,0,10.13,0.00,11.39,6.33,2.53,67.09,2.53,0.00,53.16,46.84
2015,WA,27010,Tacoma School District,1797,Day Reporting School,9,4,0,0,0,3,0,1,0,0,3,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0.00,0.00,0.00,75.00,0.00,25.00,0.00,0.00,75.00,25.00
